ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-10T19:18:46.872801Z,mmtc,uesimtun2,10.47.0.2,14845,289,21872,433,1.075,0,1
2025-12-10T19:18:47.122816Z,embb,uesimtun0,10.45.0.2,120708,2403,129244,2167,1.180,0,1
2025-12-10T19:18:47.122816Z,urllc,uesimtun1,10.46.0.2,14419,277,21334,424,1.103,0,1
2025-12-10T19:18:47.122816Z,mmtc,uesimtun2,10.47.0.2,15010,292,22116,438,0.819,0,1
2025-12-10T19:18:47.372922Z,embb,uesimtun0,10.45.0.2,121704,2423,130205,2184,1.440,0,1
2025-12-10T19:18:47.372922Z,urllc,uesimtun1,10.46.0.2,14584,280,21578,429,1.311,0,1
2025-12-10T19:18:47.372922Z,mmtc,uesimtun2,10.47.0.2,15255,297,22480,445,1.372,0,1
2025-12-10T19:18:47.622733Z,embb,uesimtun0,10.45.0.2,121869,2426,130449,2189,1.522,0,1
2025-12-10T19:18:47.622733Z,urllc,uesimtun1,10.46.0.2,14749,283,21822,434,1.045,0,1
2025-12-10T19:18:47.622733Z,mmtc,uesimtun2,10.47.0.2,15420,300,22724,450,1.166,0,1
2025-12-10T19:18:47.873182Z,embb,uesimtun0,10.45.0.2,122331,2435,130999,2199,1.417,0,1
2025-12-10T19:18:47.873182Z,urllc,uesimtun1,10.46.0.2,14914,286,22066,439,1.128,0,1
2025-12-10T19:18:47.873182Z,mmtc,uesimtun2,10.47.0.2,15637,304,23008,456,1.020,0,1
2025-12-10T19:18:48.122777Z,embb,uesimtun0,10.45.0.2,123227,2452,132002,2216,1.118,0,1
2025-12-10T19:18:48.122777Z,urllc,uesimtun1,10.46.0.2,15079,289,22310,444,1.059,0,1
2025-12-10T19:18:48.122777Z,mmtc,uesimtun2,10.47.0.2,15802,307,23252,461,1.708,0,1
2025-12-10T19:18:48.372947Z,embb,uesimtun0,10.45.0.2,124488,2477,133311,2238,1.517,0,1
2025-12-10T19:18:48.372947Z,urllc,uesimtun1,10.46.0.2,15244,292,22554,449,0.974,0,1
2025-12-10T19:18:48.372947Z,mmtc,uesimtun2,10.47.0.2,15967,310,23496,466,1.094,0,1
2025-12-10T19:18:48.622876Z,embb,uesimtun0,10.45.0.2,124653,2480,133555,2243,1.640,0,1
2025-12-10T19:18:48.622876Z,urllc,uesimtun1,10.46.0.2,15409,295,22798,454,1.286,0,1
2025-12-10T19:18:48.622876Z,mmtc,uesimtun2,10.47.0.2,16132,313,23740,471,1.208,0,1
2025-12-10T19:18:48.872796Z,embb,uesimtun0,10.45.0.2,125412,2495,134410,2258,1.270,0,1
2025-12-10T19:18:48.872796Z,urllc,uesimtun1,10.46.0.2,15574,298,23042,459,1.110,0,1
2025-12-10T19:18:48.872796Z,mmtc,uesimtun2,10.47.0.2,16297,316,23984,476,0.989,0,1
2025-12-10T19:18:49.122418Z,embb,uesimtun0,10.45.0.2,127227,2531,136331,2290,1.158,0,1
2025-12-10T19:18:49.122418Z,urllc,uesimtun1,10.46.0.2,15739,301,23286,464,1.016,0,1
2025-12-10T19:18:49.122418Z,mmtc,uesimtun2,10.47.0.2,16462,319,24228,481,1.004,0,1
2025-12-10T19:18:49.372722Z,embb,uesimtun0,10.45.0.2,128797,2562,137998,2318,1.518,0,1
2025-12-10T19:18:49.372722Z,urllc,uesimtun1,10.46.0.2,15904,304,23530,469,1.105,0,1
2025-12-10T19:18:49.372722Z,mmtc,uesimtun2,10.47.0.2,16759,325,24632,489,1.284,0,1
2025-12-10T19:18:49.623022Z,embb,uesimtun0,10.45.0.2,128962,2565,138242,2323,1.563,0,1
2025-12-10T19:18:49.623022Z,urllc,uesimtun1,10.46.0.2,16069,307,23774,474,1.274,0,1
2025-12-10T19:18:49.623022Z,mmtc,uesimtun2,10.47.0.2,16924,328,24876,494,1.062,0,1
2025-12-10T19:18:49.872884Z,embb,uesimtun0,10.45.0.2,129641,2578,138992,2336,1.162,0,1
2025-12-10T19:18:49.872884Z,urllc,uesimtun1,10.46.0.2,16234,310,24018,479,0.944,0,1
2025-12-10T19:18:49.872884Z,mmtc,uesimtun2,10.47.0.2,17129,332,25180,500,0.990,0,1
2025-12-10T19:18:50.122716Z,embb,uesimtun0,10.45.0.2,131247,2610,140913,2368,1.009,0,1
2025-12-10T19:18:50.122716Z,urllc,uesimtun1,10.46.0.2,16451,314,24302,485,1.357,0,1
