ts,slice,ifname,rx_bytes,rx_pkts,tx_bytes,tx_pkts,tcp_rtt_ms,probe_loss,tun_exists
2025-11-25T17:15:33.500495Z,mmtc,uesimtun2,150074,1845,154772,1956,0.971,0,1
2025-11-25T17:15:33.750129Z,embb,uesimtun0,150696,1852,155856,1977,1.328,0,1
2025-11-25T17:15:33.750129Z,urllc,uesimtun1,148569,1833,151332,1872,0.988,0,1
2025-11-25T17:15:33.750129Z,mmtc,uesimtun2,150239,1848,155016,1961,0.944,0,1
2025-11-25T17:15:34.000286Z,embb,uesimtun0,150861,1855,156100,1982,1.330,0,1
2025-11-25T17:15:34.000286Z,urllc,uesimtun1,148709,1836,151496,1875,0.996,0,1
2025-11-25T17:15:34.000286Z,mmtc,uesimtun2,150404,1851,155260,1966,0.994,0,1
2025-11-25T17:15:34.250122Z,embb,uesimtun0,151026,1858,156344,1987,1.492,0,1
2025-11-25T17:15:34.250122Z,urllc,uesimtun1,148874,1839,151740,1880,0.969,0,1
2025-11-25T17:15:34.250122Z,mmtc,uesimtun2,150544,1854,155424,1969,1.049,0,1
2025-11-25T17:15:34.500698Z,embb,uesimtun0,151191,1861,156588,1992,49.061,0,1
2025-11-25T17:15:34.500698Z,urllc,uesimtun1,149014,1842,151904,1883,,1,1
2025-11-25T17:15:34.500698Z,mmtc,uesimtun2,150709,1857,155668,1974,0.923,0,1
2025-11-25T17:15:34.750540Z,embb,uesimtun0,151356,1864,156832,1997,1.250,0,1
2025-11-25T17:15:34.750540Z,urllc,uesimtun1,149054,1843,151964,1884,0.962,0,1
2025-11-25T17:15:34.750540Z,mmtc,uesimtun2,150874,1860,155912,1979,0.932,0,1
2025-11-25T17:15:35.000856Z,embb,uesimtun0,151521,1867,157076,2002,1.491,0,1
2025-11-25T17:15:35.000856Z,urllc,uesimtun1,149194,1846,152128,1887,1.166,0,1
2025-11-25T17:15:35.000856Z,mmtc,uesimtun2,151039,1863,156156,1984,0.916,0,1
2025-11-25T17:15:35.250476Z,embb,uesimtun0,151686,1870,157320,2007,19.259,0,1
2025-11-25T17:15:35.250476Z,urllc,uesimtun1,149334,1849,152292,1890,1.078,0,1
2025-11-25T17:15:35.250476Z,mmtc,uesimtun2,151204,1866,156400,1989,1.174,0,1
2025-11-25T17:15:35.500238Z,embb,uesimtun0,151851,1873,157564,2012,53.552,0,1
2025-11-25T17:15:35.500238Z,urllc,uesimtun1,149474,1852,152456,1893,,1,1
2025-11-25T17:15:35.500238Z,mmtc,uesimtun2,151369,1869,156644,1994,0.964,0,1
2025-11-25T17:15:35.750752Z,embb,uesimtun0,152016,1876,157808,2017,1.247,0,1
2025-11-25T17:15:35.750752Z,urllc,uesimtun1,149514,1853,152516,1894,0.943,0,1
2025-11-25T17:15:35.750752Z,mmtc,uesimtun2,151534,1872,156888,1999,0.956,0,1
2025-11-25T17:15:36.000189Z,embb,uesimtun0,152181,1879,158052,2022,1.298,0,1
2025-11-25T17:15:36.000189Z,urllc,uesimtun1,149654,1856,152680,1897,1.027,0,1
2025-11-25T17:15:36.000189Z,mmtc,uesimtun2,151699,1875,157132,2004,1.102,0,1
2025-11-25T17:15:36.250212Z,embb,uesimtun0,152346,1882,158296,2027,19.430,0,1
2025-11-25T17:15:36.250212Z,urllc,uesimtun1,149794,1859,152844,1900,1.026,0,1
2025-11-25T17:15:36.250212Z,mmtc,uesimtun2,151864,1878,157376,2009,1.172,0,1
2025-11-25T17:15:36.500349Z,embb,uesimtun0,152511,1885,158540,2032,69.435,0,1
2025-11-25T17:15:36.500349Z,urllc,uesimtun1,149934,1862,153008,1903,1.026,0,1
2025-11-25T17:15:36.500349Z,mmtc,uesimtun2,152029,1881,157620,2014,1.229,0,1
2025-11-25T17:15:36.750893Z,embb,uesimtun0,152676,1888,158784,2037,1.304,0,1
2025-11-25T17:15:36.750893Z,urllc,uesimtun1,150151,1866,153252,1908,0.973,0,1
2025-11-25T17:15:36.750893Z,mmtc,uesimtun2,152169,1884,157784,2017,0.857,0,1
2025-11-25T17:15:37.000501Z,embb,uesimtun0,152841,1891,159028,2042,1.256,0,1
2025-11-25T17:15:37.000501Z,urllc,uesimtun1,150291,1869,153416,1911,0.981,0,1
2025-11-25T17:15:37.000501Z,mmtc,uesimtun2,152334,1887,158028,2022,0.897,0,1
2025-11-25T17:15:37.250349Z,embb,uesimtun0,153006,1894,159272,2047,19.393,0,1
2025-11-25T17:15:37.250349Z,urllc,uesimtun1,150431,1872,153580,1914,,1,1
2025-11-25T17:15:37.250349Z,mmtc,uesimtun2,152499,1890,158272,2027,1.091,0,1
2025-11-25T17:15:37.500865Z,embb,uesimtun0,153171,1897,159516,2052,52.794,0,1
2025-11-25T17:15:37.500865Z,urllc,uesimtun1,150471,1873,153640,1915,0.963,0,1
2025-11-25T17:15:37.500865Z,mmtc,uesimtun2,152664,1893,158516,2032,1.086,0,1
2025-11-25T17:15:37.750352Z,embb,uesimtun0,153336,1900,159760,2057,1.291,0,1
2025-11-25T17:15:37.750352Z,urllc,uesimtun1,150611,1876,153804,1918,0.968,0,1
2025-11-25T17:15:37.750352Z,mmtc,uesimtun2,152829,1896,158760,2037,1.267,0,1
2025-11-25T17:15:38.000211Z,embb,uesimtun0,153501,1903,160004,2062,1.404,0,1
2025-11-25T17:15:38.000211Z,urllc,uesimtun1,150751,1879,153968,1921,0.959,0,1
2025-11-25T17:15:38.000211Z,mmtc,uesimtun2,152994,1899,159004,2042,1.035,0,1
2025-11-25T17:15:38.250566Z,embb,uesimtun0,153666,1906,160248,2067,1.524,0,1
2025-11-25T17:15:38.250566Z,urllc,uesimtun1,150891,1882,154132,1924,0.976,0,1
2025-11-25T17:15:38.250566Z,mmtc,uesimtun2,153159,1902,159248,2047,1.035,0,1
2025-11-25T17:15:38.500412Z,embb,uesimtun0,153831,1909,160492,2072,69.507,0,1
