ts,embb_rate,urllc_rate,mmtc_rate,action,reason,embb_bps,urllc_bps,mmtc_bps,embb_rtt_ms,urllc_rtt_ms,mmtc_rtt_ms
2025-12-10T21:00:14.143361Z,50mbit,10mbit,800kbit,none,,0,0,0,0.311279296875,0.18367767333984375,0.16798973083496094
2025-12-10T21:00:14.643461Z,50mbit,10mbit,800kbit,none,,0,0,0,0.30670166015625,0.1804828643798828,0.1522541046142578
2025-12-10T21:00:15.143360Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29735565185546875,0.18434524536132812,0.1411914825439453
2025-12-10T21:00:15.643696Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2998828887939453,0.18434524536132812,0.14061927795410156
2025-12-10T21:00:16.143473Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2947807312011719,0.1838207244873047,0.14133453369140625
2025-12-10T21:00:16.643047Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27413368225097656,0.1838207244873047,0.15077590942382812
2025-12-10T21:00:17.143585Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2825736999511719,0.1820087432861328,0.1510143280029297
2025-12-10T21:00:17.683708Z,50mbit,10mbit,800kbit,none,,0,0,0,14.552736282348633,0.15730857849121094,0.16088485717773438
2025-12-10T21:00:18.143487Z,50mbit,10mbit,800kbit,none,,0,0,0,14.545392990112305,0.1536846160888672,0.16031265258789062
2025-12-10T21:00:18.644082Z,50mbit,10mbit,800kbit,none,,0,0,0,14.548110961914062,0.14772415161132812,0.1674175262451172
2025-12-10T21:00:19.143522Z,50mbit,10mbit,800kbit,none,,0,0,0,14.545345306396484,0.14853477478027344,0.16241073608398438
2025-12-10T21:00:19.644182Z,50mbit,10mbit,800kbit,none,,0,0,0,14.542102813720703,0.15020370483398438,0.16341209411621094
2025-12-10T21:00:20.143013Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27709007263183594,0.16489028930664062,0.1708507537841797
2025-12-10T21:00:20.643749Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2787590026855469,0.16698837280273438,0.17151832580566406
2025-12-10T21:00:21.143513Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2810478210449219,0.17223358154296875,0.168609619140625
2025-12-10T21:00:21.642957Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2877235412597656,0.20766258239746094,0.168609619140625
2025-12-10T21:00:22.143661Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29044151306152344,0.2068042755126953,0.1652240753173828
2025-12-10T21:00:22.643862Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2895832061767578,0.1800060272216797,0.16393661499023438
2025-12-10T21:00:23.143455Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2906322479248047,0.1800060272216797,0.16336441040039062
2025-12-10T21:00:23.643447Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29425621032714844,0.18167495727539062,0.1590728759765625
2025-12-10T21:00:24.143576Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28862953186035156,0.1769542694091797,0.1613616943359375
2025-12-10T21:00:24.643564Z,50mbit,10mbit,800kbit,none,,0,0,0,38.54818344116211,0.1513957977294922,0.19278526306152344
2025-12-10T21:00:25.143877Z,50mbit,10mbit,800kbit,none,,0,0,0,38.54775428771973,0.1529693603515625,0.19311904907226562
2025-12-10T21:00:25.644176Z,50mbit,10mbit,800kbit,none,,0,0,0,38.543701171875,0.15811920166015625,0.17604827880859375
2025-12-10T21:00:26.143314Z,50mbit,10mbit,800kbit,none,,0,0,0,38.53659629821777,0.1536846160888672,0.18029212951660156
2025-12-10T21:00:26.643195Z,50mbit,10mbit,800kbit,none,,0,0,0,38.532352447509766,0.15397071838378906,0.17948150634765625
2025-12-10T21:00:27.143260Z,50mbit,10mbit,800kbit,none,,0,0,0,0.26106834411621094,0.146484375,0.1644134521484375
2025-12-10T21:00:27.643015Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2590179443359375,0.15387535095214844,0.16431808471679688
2025-12-10T21:00:28.143420Z,50mbit,10mbit,800kbit,none,,0,0,0,0.26874542236328125,0.1540660858154297,0.1640796661376953
2025-12-10T21:00:28.644060Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2711772918701172,0.16121864318847656,0.16846656799316406
2025-12-10T21:00:29.144243Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27480125427246094,0.16121864318847656,0.1659393310546875
2025-12-10T21:00:29.643799Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27756690979003906,0.16069412231445312,0.1491546630859375
2025-12-10T21:00:30.142992Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28243064880371094,0.16465187072753906,0.1494884490966797
2025-12-10T21:00:30.643690Z,50mbit,10mbit,800kbit,none,,0,0,0,24.495506286621094,0.1667499542236328,0.14748573303222656
2025-12-10T21:00:31.143461Z,50mbit,10mbit,800kbit,none,,0,0,0,24.493789672851562,0.17070770263671875,0.14514923095703125
2025-12-10T21:00:31.643659Z,50mbit,10mbit,800kbit,none,,0,0,0,24.489736557006836,0.17070770263671875,0.14772415161132812
2025-12-10T21:00:32.144158Z,50mbit,10mbit,800kbit,none,,0,0,0,24.491548538208008,0.16603469848632812,0.14791488647460938
2025-12-10T21:00:32.643023Z,50mbit,10mbit,800kbit,none,,0,0,0,24.491596221923828,0.16603469848632812,0.150299072265625
2025-12-10T21:00:33.143769Z,50mbit,10mbit,800kbit,none,,0,0,0,0.26702880859375,0.16837120056152344,0.14858245849609375
2025-12-10T21:00:33.644082Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2631187438964844,0.16837120056152344,0.147247314453125
2025-12-10T21:00:34.144312Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2665519714355469,0.1644611358642578,0.1399517059326172
2025-12-10T21:00:34.643597Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2669334411621094,0.1644611358642578,0.14209747314453125
2025-12-10T21:00:35.143100Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2673625946044922,0.15625953674316406,0.14019012451171875
2025-12-10T21:00:35.644219Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2662181854248047,0.1506328582763672,0.14328956604003906
2025-12-10T21:00:36.144184Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2727031707763672,0.15087127685546875,0.1461029052734375
2025-12-10T21:00:36.643438Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27489662170410156,0.1502513885498047,0.14886856079101562
2025-12-10T21:00:37.143521Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27637481689453125,0.1476764678955078,0.14963150024414062
2025-12-10T21:00:37.643208Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2785682678222656,0.1464366912841797,0.1422405242919922
2025-12-10T21:00:38.143453Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28095245361328125,0.1464366912841797,0.16393661499023438
2025-12-10T21:00:38.642995Z,50mbit,10mbit,800kbit,none,,0,0,0,0.27709007263183594,0.1530170440673828,0.16269683837890625
2025-12-10T21:00:39.143843Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2726554870605469,0.1526355743408203,0.1678466796875
2025-12-10T21:00:39.643509Z,50mbit,10mbit,800kbit,none,,0,0,0,0.2800464630126953,0.16264915466308594,0.17423629760742188
2025-12-10T21:00:40.143543Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28400421142578125,0.16145706176757812,0.18787384033203125
2025-12-10T21:00:40.643567Z,50mbit,10mbit,800kbit,none,,0,0,0,0.28786659240722656,0.16574859619140625,0.156402587890625
2025-12-10T21:00:41.143334Z,50mbit,10mbit,800kbit,none,,0,0,0,0.29120445251464844,0.15993118286132812,0.1614093780517578
