ts,slice,iface,ip,rx,rxp,tx,txp,rtt_ms,loss,exists
2025-12-09T08:44:41.541617Z,embb,uesimtun0,10.45.0.2,437079,8994,4356439006,3173486,3.405,0,1
2025-12-09T08:44:41.541617Z,urllc,uesimtun2,10.46.0.2,19366,415,28422,532,1.368,0,1
2025-12-09T08:44:41.541617Z,mmtc,uesimtun1,10.47.0.2,25186,565,2307784,38519,8.154,0,1
2025-12-09T08:44:41.791917Z,embb,uesimtun0,10.45.0.2,437633,9005,4359641600,3175825,1.797,0,1
2025-12-09T08:44:41.791917Z,urllc,uesimtun2,10.46.0.2,19531,418,28666,537,1.069,0,1
2025-12-09T08:44:41.791917Z,mmtc,uesimtun1,10.47.0.2,25508,571,2333348,38947,116.440,0,1
2025-12-09T08:44:42.041613Z,embb,uesimtun0,10.45.0.2,437850,9009,4362823196,3178143,1.836,0,1
2025-12-09T08:44:42.041613Z,urllc,uesimtun2,10.46.0.2,19696,421,28910,542,1.333,0,1
2025-12-09T08:44:42.041613Z,mmtc,uesimtun1,10.47.0.2,25725,575,2333632,38953,3.043,0,1
2025-12-09T08:44:42.291558Z,embb,uesimtun0,10.45.0.2,439801,9049,4366010767,3180494,2.203,0,1
2025-12-09T08:44:42.291558Z,urllc,uesimtun2,10.46.0.2,19913,425,29194,548,1.857,0,1
2025-12-09T08:44:42.291558Z,mmtc,uesimtun1,10.47.0.2,25982,580,2350776,39240,127.276,0,1
2025-12-09T08:44:42.541605Z,embb,uesimtun0,10.45.0.2,440833,9070,4369208377,3182837,2.163,0,1
2025-12-09T08:44:42.541605Z,urllc,uesimtun2,10.46.0.2,20078,428,29438,553,1.626,0,1
2025-12-09T08:44:42.541605Z,mmtc,uesimtun1,10.47.0.2,26199,584,2351060,39246,4.132,0,1
2025-12-09T08:44:42.791776Z,embb,uesimtun0,10.45.0.2,441050,9074,4372395477,3185159,1.341,0,1
2025-12-09T08:44:42.791776Z,urllc,uesimtun2,10.46.0.2,20243,431,29682,558,1.382,0,1
2025-12-09T08:44:42.791776Z,mmtc,uesimtun1,10.47.0.2,26456,589,2376604,39673,,1,1
2025-12-09T08:44:43.041492Z,embb,uesimtun0,10.45.0.2,441215,9077,4375583913,3187481,1.962,0,1
2025-12-09T08:44:43.041492Z,urllc,uesimtun2,10.46.0.2,20460,435,29966,564,1.492,0,1
2025-12-09T08:44:43.041492Z,mmtc,uesimtun1,10.47.0.2,26456,589,2376664,39674,88.900,0,1
2025-12-09T08:44:43.291787Z,embb,uesimtun0,10.45.0.2,442709,9107,4378779330,3189831,3.070,0,1
